"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4430211","Jamil Muhammad","USC","Pac-12","fumbles","FUM","0"
"4594277","Jaylin Smith","USC","Pac-12","defensive","PD","1"
"4430285","Deuce Palmer","USC","Pac-12","defensive","TOT","2"
"5101117","Sam Greene","USC","Pac-12","defensive","QB HUR","0"
"4905248","Carson Tabaracci","USC","Pac-12","defensive","SOLO","1"
"4875308","Josiah Zamora","USC","Pac-12","receiving","YDS","11"
"4431611","Caleb Williams","USC","Pac-12","passing","TD","30"
"5101117","Sam Greene","USC","Pac-12","defensive","TOT","1"
"4870612","Zachariah Branch","USC","Pac-12","rushing","TD","1"
"4431580","Miller Moss","USC","Pac-12","passing","PCT","0.719"
"4372508","Jack Sullivan","USC","Pac-12","defensive","QB HUR","0"
"4685282","Zion Branch","USC","Pac-12","defensive","SACKS","0"
"4870612","Zachariah Branch","USC","Pac-12","defensive","QB HUR","0"
"4683061","Prophet Brown","USC","Pac-12","defensive","SACKS","0"
"4567506","Tahj Washington","USC","Pac-12","receiving","REC","52"
"4685282","Zion Branch","USC","Pac-12","defensive","TOT","19"
"4711055","Dorian Singer","USC","Pac-12","receiving","REC","23"
"4592573","Michael Jackson III","USC","Pac-12","receiving","YDS","146"
"4870922","Duce Robinson","USC","Pac-12","receiving","LONG","71"
"4870612","Zachariah Branch","USC","Pac-12","puntReturns","NO","15"
"4870659","Tackett Curtis","USC","Pac-12","defensive","SOLO","23"
"4431611","Caleb Williams","USC","Pac-12","receiving","YDS","15"
"4870928","Malachi Nelson","USC","Pac-12","passing","TD","0"
"4592573","Michael Jackson III","USC","Pac-12","receiving","YPR","8.6"
"4683061","Prophet Brown","USC","Pac-12","defensive","QB HUR","0"
"4686781","Brenden Rice","USC","Pac-12","fumbles","LOST","0"
"4685218","Tyrone Taleni","USC","Pac-12","defensive","TD","0"
"4430211","Jamil Muhammad","USC","Pac-12","defensive","QB HUR","4"
